state,state_name,region,population_2022_k,elderly_pct,urban_pct,gdp_per_capita_brl,hdi,hospital_beds_per_1000,physicians_per_1000,mean_temp_annual,climate_zone,capital_latitude,gdp_per_capita_usd,elderly_population_k,heat_adaptation_proxy,ses_vulnerability
RO,Rondônia,North,1815,10.8,75.2,28547,0.725,1.8,1.3,25.8,Tropical,-8.76,5709.4,196.02,0.7916666666666667,0.800526210132773
AC,Acre,North,830,9.5,73.1,19262,0.71,1.6,1.2,25.2,Tropical,-9.97,3852.4,78.85,0.7291666666666665,0.8789929280858179
AM,Amazonas,North,3942,8.7,81.0,24871,0.733,1.4,1.1,27.1,Equatorial,-3.1,4974.2,342.95399999999995,0.9270833333333334,0.8193407282687789
RR,Roraima,North,636,7.4,77.8,24385,0.752,1.9,1.5,27.5,Equatorial,2.82,4877.0,47.06400000000001,0.9687499999999999,0.7490377196092081
PA,Pará,North,8120,9.2,75.4,19877,0.698,1.5,0.9,26.8,Equatorial,-1.46,3975.4,747.04,0.8958333333333334,0.9263111989097853
AP,Amapá,North,733,7.8,90.0,21843,0.74,1.7,1.0,27.0,Equatorial,0.03,4368.6,57.174,0.9166666666666666,0.8282199531288157
TO,Tocantins,North,1512,10.2,81.2,23108,0.743,1.9,1.4,26.5,Tropical,-10.18,4621.6,154.224,0.8645833333333333,0.7808887640430134
MA,Maranhão,Northeast,6776,10.1,65.3,14739,0.676,1.3,0.8,27.2,Tropical,-2.53,2947.8,684.3759999999999,0.9374999999999999,1.0
PI,Piauí,Northeast,3270,12.3,70.5,16186,0.697,1.6,0.9,27.8,Semi-arid,-5.09,3237.2,402.21,1.0,0.9444148652149519
CE,Ceará,Northeast,8794,13.2,78.1,18631,0.735,1.5,1.3,26.9,Semi-arid,-3.72,3726.2,1160.808,0.9062499999999998,0.8248586333891045
RN,Rio Grande do Norte,Northeast,3303,13.8,82.3,20996,0.731,1.8,1.5,26.5,Semi-arid,-5.79,4199.2,455.814,0.8645833333333333,0.8041310530393312
PB,Paraíba,Northeast,3975,14.5,77.2,17035,0.718,1.7,1.2,25.8,Semi-arid,-7.12,3407.0,576.375,0.7916666666666667,0.8734344159016598
PE,Pernambuco,Northeast,9058,13.9,82.5,21077,0.727,2.0,1.7,25.4,Tropical,-8.05,4215.4,1259.062,0.7499999999999998,0.793420621135453
AL,Alagoas,Northeast,3128,11.8,75.8,16589,0.684,1.4,1.0,25.2,Tropical,-9.67,3317.8,369.10400000000004,0.7291666666666665,0.9585425966743945
SE,Sergipe,Northeast,2211,12.4,77.3,20754,0.702,1.5,1.3,25.8,Tropical,-10.91,4150.8,274.164,0.7916666666666667,0.8787659882258237
BA,Bahia,Northeast,14141,12.8,76.4,20521,0.714,1.6,1.3,24.5,Tropical,-12.97,4104.2,1810.0480000000002,0.65625,0.8567993719655158
MG,Minas Gerais,Southeast,20539,15.8,87.3,32540,0.774,2.1,2.3,21.5,Tropical,-19.92,6508.0,3245.1620000000003,0.34375,0.5990539216287565
ES,Espírito Santo,Southeast,3834,14.2,89.4,37246,0.772,1.9,2.0,23.2,Tropical,-20.32,7449.2,544.428,0.5208333333333333,0.6092728301216442
RJ,Rio de Janeiro,Southeast,16055,17.8,97.0,46622,0.778,2.3,3.1,23.8,Tropical,-22.91,9324.4,2857.79,0.5833333333333334,0.45755829433606227
SP,São Paulo,Southeast,44420,16.2,96.4,54644,0.806,2.2,2.8,20.8,Subtropical,-23.55,10928.8,7196.04,0.2708333333333334,0.395762652889073
PR,Paraná,South,11445,14.5,87.7,43389,0.792,2.4,2.1,19.5,Subtropical,-25.43,8677.8,1659.525,0.1354166666666667,0.5350077259080851
SC,Santa Catarina,South,7610,13.8,85.1,47720,0.808,2.3,2.0,18.2,Subtropical,-27.6,9544.0,1050.18,0.0,0.49437052968311024
RS,Rio Grande do Sul,South,10882,18.5,86.8,43921,0.787,2.6,2.4,18.5,Subtropical,-30.03,8784.2,2013.17,0.03125000000000007,0.5152260017106549
MS,Mato Grosso do Sul,Central-West,2757,12.8,88.5,39873,0.766,2.0,1.8,24.2,Tropical,-20.44,7974.6,352.89599999999996,0.6249999999999999,0.627263625983731
MT,Mato Grosso,Central-West,3659,10.5,83.2,48560,0.774,1.8,1.6,25.5,Tropical,-15.6,9712.0,384.195,0.7604166666666666,0.5918566002333113
GO,Goiás,Central-West,7056,12.2,92.0,33608,0.769,1.9,1.7,23.8,Tropical,-16.68,6721.6,860.832,0.5833333333333334,0.6580024941135459
DF,Distrito Federal,Central-West,2818,12.0,97.8,90742,0.85,2.8,4.5,21.5,Tropical,-15.78,18148.4,338.16,0.34375,0.0
