age,ex_mean,ex_min,ex_max,n_years
0,75.64881929848758,73.48357403044221,77.0272134497579,15
1,75.7063878071105,74.10626328325972,76.89904678442534,15
2,74.77726630802006,73.25568647749382,75.95883863897797,15
3,73.82279659652669,72.33398049267102,74.99633437902541,15
4,72.85670580589326,71.3854679655941,74.02426169572135,15
5,71.88368480524916,70.42301298163322,73.04673930607396,15
6,70.90608160364322,69.45214628433423,72.06570444949301,15
7,69.92532432015518,68.47578685088538,71.08227671809765,15
8,68.94240317704333,67.49571509647,70.09721488747033,15
9,67.95809378672818,66.51317106016916,69.11111920005418,15
10,66.9730919081226,65.52915495694793,68.12454696604752,15
11,65.98812014752525,64.54461846464201,67.13810020945938,15
12,65.00396917203878,63.56062585373895,66.15251307524707,15
13,64.02182064397502,62.5785304759979,65.16875793707713,15
14,63.04311190735984,61.59956601527012,64.18818889898664,15
15,62.0705885714497,60.628361800506354,63.2127460763541,15
16,61.11326583887469,59.67054927322065,62.253694566033936,15
17,60.16608151952799,58.72206689563726,61.30400947721634,15
18,59.22810296567722,57.78189731707943,60.362274590146875,15
19,58.297444857750136,56.8483790846342,59.426344058239714,15
20,57.372149091940074,55.92011190150821,58.49446322815193,15
21,56.45141347567299,54.99701346140578,57.566420258302756,15
22,55.53448408297733,54.07885613391623,56.64201490185555,15
23,54.61955173148758,53.16395190406129,55.71957173777638,15
24,53.70478765971439,52.250270935339735,54.797129923244746,15
25,52.78897434121584,51.33637596963143,53.87331839274623,15
26,51.87161561589515,50.42174703415495,52.94754072899985,15
27,50.95290418747227,49.50661638300136,52.02003521936982,15
28,50.03327174379069,48.59130861991371,51.091367773888784,15
29,49.11345154516787,47.67644850627347,50.16247732869018,15
30,48.19399314381515,46.76256247839477,49.23408817982554,15
31,47.27506194657609,45.84980258291562,48.306409334997326,15
32,46.35662935416034,44.93824896679882,47.379397813514025,15
33,45.43885982293254,44.02830061385835,46.453244676680704,15
34,44.5219202276534,43.12041469020559,45.528122873832835,15
35,43.60606157536029,42.21502697181341,44.60425901860009,15
36,42.69165852199255,41.31249066440359,43.681998865173306,15
37,41.779153498174395,40.4131458259217,42.76171479511473,15
38,40.86896660929122,39.517400318666944,41.84371226296965,15
39,39.96153347695845,38.62567021527936,40.928297145353184,15
40,39.05728379504278,37.73835271085109,40.01581760489544,15
41,38.15655584707915,36.8557512167727,39.10658129971261,15
42,37.259738872751086,35.97819715203276,38.20101666466153,15
43,36.36735813986205,35.10612784229887,37.29972734340071,15
44,35.479972723471455,34.239999055394826,36.40338093574819,15
45,34.59804850374875,33.38018150631437,35.51252254124085,15
46,33.72193265071646,32.52714734720998,34.627527671126856,15
47,32.85185089239483,31.681090159999084,33.74860953673793,15
48,31.98798448040775,30.84179251381534,32.87593423443883,15
49,31.130467332289772,30.00887746879031,32.00959858747701,15
50,30.279472731119434,29.182235282504525,31.149732210187004,15
51,29.435274679032585,28.361939902669103,30.296600026093287,15
52,28.598182576540147,27.543271992847394,29.450459504193102,15
53,27.768448017895214,26.726393958778026,28.611427600741838,15
54,26.946310502288572,25.917337865021928,27.779588867085188,15
55,26.131995212842515,25.11618237604364,26.95507313534713,15
56,25.325847205118784,24.323289942418135,26.138220836624683,15
57,24.528061455613685,23.538882637962296,25.329312306318418,15
58,23.738534348073223,22.762778690309833,24.52838245064492,15
59,22.957086470719123,21.99468911262999,23.735411555450845,15
60,22.183745021948127,21.234576215673417,22.950534694719494,15
61,21.418797573989075,20.4825918648823,22.174099953901187,15
62,20.662905311398706,19.73933232842272,21.406643070091494,15
63,19.916957603311825,19.005754668277287,20.648747820641052,15
64,19.182002686927333,18.283040907771614,19.9010822390833,15
65,18.458937720371473,17.572150193190485,19.164299221227587,15
66,17.747985791972965,16.87326830153777,18.43858326017517,15
67,17.049313112489404,16.186621060715737,17.72443281608272,15
68,16.363483423544814,15.513179921941623,17.0231326631694,15
69,15.691155078896816,14.85409374883777,16.336235757803134,15
70,15.032786894152574,14.210201876919026,15.664901508650821,15
71,14.388321118083049,13.581473475264396,15.009315223982895,15
72,13.757975852384044,12.96782573833654,14.369479309496137,15
73,13.142831069414372,12.369899307907303,13.7460646402935,15
74,12.544278403211061,11.788510379408537,13.13985426020068,15
75,11.963563214149243,11.224206168558887,12.551426872581914,15
76,11.401170997621234,10.67682426477965,11.98068075145853,15
77,10.857274723686583,10.146073417671253,11.427572135103548,15
78,10.33218376221942,9.632197343638012,10.8927880725012,15
79,9.826170536461122,9.13558765247198,10.377303119369724,15
80,8.932946642987874,8.8422191692017,9.00833174782361,3
81,8.41987902321266,8.34817400776993,8.48470865489099,3
82,7.925637755717276,7.87166162271487,7.98068013161633,3
83,7.455138007628233,7.41710883286359,7.50135422007259,3
84,7.014386636951156,6.98980712127324,7.05303371198526,3
85,6.609091090410409,6.59080353706643,6.64173385828642,3
86,6.241506465745797,6.22075316498629,6.2697799777092,3
87,5.90936555357962,5.88751151302278,5.9346110666344,3
88,5.60538679393506,5.58283134112293,5.628208618473,3
89,5.318505905470453,5.29424343795688,5.3384347033833,3
