year,total_deaths,total_expected,total_excess,heat_excess,cold_excess,extreme_heat_excess,extreme_cold_excess,excess_pct,heat_excess_pct,cold_excess_pct
2010,704830,702846.104744206,1983.89525579372,5618.09391303325,-3634.19865723953,1769.1998832534,-355.993235688207,0.282265953016235,0.799334857959822,-0.517068904943588
2011,733686,732002.977101961,1683.02289803918,3922.10513612572,-2239.08223808653,0,402.154499521232,0.229920225830551,0.535804533426017,-0.305884307595467
2012,742306,741628.556157259,677.443842741267,4669.26995578993,-3991.82611304866,1587.41254209795,579.403717213016,0.0913454366228069,0.629596840227364,-0.538251403604557
2013,769724,773562.55804797,-3838.55804796949,-914.018826831657,-2924.53922113784,291.060765608337,696.843294739276,-0.496218180163195,-0.118157066590467,-0.378061113572728
2014,787453,785436.508473658,2016.49152634167,6235.71850767686,-4219.22698133519,5461.52195555244,-27.7766361934337,0.25673514085312,0.793917578366042,-0.537182437512922
2015,827590,828008.641632648,-418.641632647528,806.079070947459,-1224.72070359499,2199.96958641117,86.9405251645549,-0.0505600559701962,0.0973515287664211,-0.147911584736617
2016,864151,864592.7773823,-441.777382299877,775.950055475936,-1217.72743777581,418.003689544842,435.555930762901,-0.0510965848728731,0.0897474598186276,-0.140844044691501
2017,877265,876361.283613746,903.716386254047,162.659464611327,741.05692164272,204.347590663095,770.349333078603,0.103121441253943,0.0185607771192935,0.0845606641346492
2018,890271,890821.906529031,-550.906529031332,652.970026461837,-1203.87655549317,101.173945101227,-9.37581624176892,-0.0618424990442664,0.0732997271032599,-0.135142226147526
2019,929732,929669.568499,62.4315010001269,-4265.75379251856,4328.18529351868,606.179275815427,633.512255578188,0.00671545064134194,-0.458846232797083,0.465561683438425
2020,1084335,1101846.45875178,-17511.4587517828,-18896.031810036,1384.57305825321,250.777808512292,734.464613266341,-1.58928302693104,-1.7149423733178,0.125659346386766
2021,1244194,1247894.89147827,-3700.89147827348,694.596455065295,-4395.48793333877,-234.497286931768,-3788.9515963811,-0.296570769184683,0.055661455128041,-0.352232224312724
2022,1098323,1075501.35337197,22821.6466280257,24035.2794627845,-1213.63283475879,2819.93630185614,-861.152123954582,2.12195424547575,2.23479769573768,-0.11284345026194
2023,1034609,1035790.96248919,-1181.96248919201,6245.54580197911,-7427.50829117112,6087.37886587206,195.283968932386,-0.114112068167841,0.602973575572618,-0.717085643740459
2024,1089243,1091747.45172668,-2504.4517266771,3476.82973248975,-5981.28145916685,916.665884494561,-679.282656529734,-0.229398449496367,0.318464652882029,-0.547863102378395
